"nutrient","age_group","n","n_f_lower","p_f_lower","sev_delta_avg_m","sev_delta_avg_f","sev_delta_m_f_diff_avg","pvalue","sig","direction","label"
"Omega-3 fatty acids","30-34",164,56,34.1463414634146,-1.40868443380782,-1.98856090816965,-0.57987647436183,6.57127642147385e-08,"Significant","Greater improvements for females","Signficantly greater
ΔSEVS for females"
"Omega-3 fatty acids","35-39",164,54,32.9268292682927,-1.43239311985869,-2.05751968977841,-0.625126569919725,2.31795602009034e-08,"Significant","Greater improvements for females","Signficantly greater
ΔSEVS for females"
"Omega-3 fatty acids","40-44",164,57,34.7560975609756,-1.31358269761155,-1.69845570159122,-0.384873003979666,2.34406577321374e-07,"Significant","Greater improvements for females","Signficantly greater
ΔSEVS for females"
"Omega-3 fatty acids","45-49",164,56,34.1463414634146,-1.30666131843186,-1.63392913919987,-0.327267820768012,6.99491992681091e-06,"Significant","Greater improvements for females","Signficantly greater
ΔSEVS for females"
"Omega-3 fatty acids","50-54",164,62,37.8048780487805,-1.31363018274749,-1.76344458866273,-0.449814405915235,1.3469452447738e-05,"Significant","Greater improvements for females","Signficantly greater
ΔSEVS for females"
"Omega-3 fatty acids","55-59",164,55,33.5365853658537,-1.37151592650762,-1.88337025737428,-0.511854330866654,3.23379311640344e-06,"Significant","Greater improvements for females","Signficantly greater
ΔSEVS for females"
"Omega-3 fatty acids","60-64",164,55,33.5365853658537,-1.40743015763581,-1.80533051927008,-0.397900361634267,0.000139831438276974,"Significant","Greater improvements for females","Signficantly greater
ΔSEVS for females"
"Omega-3 fatty acids","65-69",164,27,16.4634146341463,-1.16823554259854,-1.37356750758745,-0.205331964988911,0.0577456636657484,"Not significant","Greater improvements for females","No significant
difference in ΔSEVS"
"Omega-3 fatty acids","70-74",164,52,31.7073170731707,-1.45280290824683,-2.06470229149333,-0.611899383246503,0.00624027407191029,"Significant","Greater improvements for females","Signficantly greater
ΔSEVS for females"
"Omega-3 fatty acids","75-79",164,54,32.9268292682927,-1.49182499092437,-2.10797378039477,-0.616148789470401,0.00604049658615864,"Significant","Greater improvements for females","Signficantly greater
ΔSEVS for females"
"Omega-3 fatty acids","80-84",164,53,32.3170731707317,-1.54409756521644,-2.34689560517885,-0.802798039962411,0.00104796793675295,"Significant","Greater improvements for females","Signficantly greater
ΔSEVS for females"
"Omega-3 fatty acids","85-89",164,51,31.0975609756098,-1.59093215897044,-2.32750406587056,-0.736571906900122,0.00127649760523237,"Significant","Greater improvements for females","Signficantly greater
ΔSEVS for females"
"Omega-3 fatty acids","90-94",164,55,33.5365853658537,-1.62184006188056,-2.21629612418559,-0.594456062305027,0.0267431997943466,"Significant","Greater improvements for females","Signficantly greater
ΔSEVS for females"
"Omega-3 fatty acids","95-99",164,52,31.7073170731707,-1.62184006188056,-1.44213747699961,0.179702584880951,0.364819606622556,"Not significant","Greater improvements for males","No significant
difference in ΔSEVS"
"Vitamin A, RAE","0-4",164,48,29.2682926829268,0.0710487952077394,0.0687198142646599,-0.00232898094307943,0.491333432010133,"Not significant","Greater improvements for females","No significant
difference in ΔSEVS"
"Vitamin A, RAE","5-9",164,79,48.1707317073171,0.0382673084704159,0.0376195863078566,-0.000647722162559262,0.856173091956363,"Not significant","Greater improvements for females","No significant
difference in ΔSEVS"
"Vitamin A, RAE","10-14",164,43,26.219512195122,0.0703810100774674,0.0742709636124135,0.00388995353494613,0.452436232655819,"Not significant","Greater improvements for males","No significant
difference in ΔSEVS"
"Vitamin A, RAE","15-19",164,75,45.7317073170732,0.0788108774515309,0.0784514953886228,-0.000359382062908096,0.962604725678446,"Not significant","Greater improvements for females","No significant
difference in ΔSEVS"
"Vitamin A, RAE","20-24",164,80,48.780487804878,0.0813839280037669,0.0769821726288133,-0.00440175537495357,0.439416672922076,"Not significant","Greater improvements for females","No significant
difference in ΔSEVS"
"Vitamin A, RAE","25-29",164,83,50.609756097561,0.0831927631019453,0.0773564170419464,-0.00583634605999887,0.319630919278592,"Not significant","Greater improvements for females","No significant
difference in ΔSEVS"
"Vitamin A, RAE","30-34",164,80,48.780487804878,0.082242892562254,0.0781889159945593,-0.00405397656769464,0.465945736489467,"Not significant","Greater improvements for females","No significant
difference in ΔSEVS"
"Vitamin A, RAE","35-39",164,83,50.609756097561,0.0826061037900554,0.0789309151528209,-0.00367518863723446,0.520293267326913,"Not significant","Greater improvements for females","No significant
difference in ΔSEVS"
"Vitamin A, RAE","40-44",164,82,50,0.0818340249476191,0.0791195197463294,-0.00271450520128971,0.567765780107816,"Not significant","Greater improvements for females","No significant
difference in ΔSEVS"
"Vitamin A, RAE","45-49",164,85,51.8292682926829,0.082073088984714,0.0792129392478883,-0.00286014973682565,0.463785895682467,"Not significant","Greater improvements for females","No significant
difference in ΔSEVS"
"Vitamin A, RAE","50-54",164,75,45.7317073170732,0.0958035568400241,0.0883425506536302,-0.00746100618639396,0.331621192639598,"Not significant","Greater improvements for females","No significant
difference in ΔSEVS"
"Vitamin A, RAE","55-59",164,70,42.6829268292683,0.0972054370033223,0.0858111620034961,-0.0113942749998262,0.192044120148138,"Not significant","Greater improvements for females","No significant
difference in ΔSEVS"
"Vitamin A, RAE","60-64",164,70,42.6829268292683,0.0951934811178255,0.0853955771953453,-0.00979790392248023,0.169806230796533,"Not significant","Greater improvements for females","No significant
difference in ΔSEVS"
"Vitamin A, RAE","65-69",164,103,62.8048780487805,0.0909458103897989,0.082313502997943,-0.00863230739185594,0.339938082970296,"Not significant","Greater improvements for females","No significant
difference in ΔSEVS"
"Vitamin A, RAE","70-74",164,81,49.390243902439,0.0918046297535082,0.084522365177951,-0.00728226457555717,0.381984500909731,"Not significant","Greater improvements for females","No significant
difference in ΔSEVS"
"Vitamin A, RAE","75-79",164,76,46.3414634146341,0.0913289071403459,0.0808077549342123,-0.0105211522061336,0.168873555311344,"Not significant","Greater improvements for females","No significant
difference in ΔSEVS"
"Vitamin A, RAE","80-84",164,78,47.5609756097561,0.0898797323965293,0.082639305890674,-0.00724042650585527,0.39282946249374,"Not significant","Greater improvements for females","No significant
difference in ΔSEVS"
"Vitamin A, RAE","85-89",164,78,47.5609756097561,0.0890702103175769,0.0806409635516931,-0.0084292467658838,0.265991968806447,"Not significant","Greater improvements for females","No significant
difference in ΔSEVS"
"Vitamin A, RAE","90-94",164,106,64.6341463414634,0.0865713230100516,0.0815965422367399,-0.00497478077331177,0.457269109556315,"Not significant","Greater improvements for females","No significant
difference in ΔSEVS"
"Vitamin A, RAE","95-99",164,71,43.2926829268293,0.0865713230100516,0.0821247368292937,-0.00444658618075789,0.553695902399543,"Not significant","Greater improvements for females","No significant
difference in ΔSEVS"
"Vitamin B-12","0-4",161,56,34.7826086956522,-0.210556171041169,-0.20052764484226,0.0100285261989092,0.48157574366594,"Not significant","Greater improvements for males","No significant
difference in ΔSEVS"
"Vitamin B-12","5-9",164,32,19.5121951219512,-0.0861879543876796,-0.102772848328712,-0.0165848939410328,0.311918068692124,"Not significant","Greater improvements for females","No significant
difference in ΔSEVS"
"Vitamin B-12","10-14",164,63,38.4146341463415,-0.143694445910726,-0.152726221571637,-0.00903177566091114,0.506703269214907,"Not significant","Greater improvements for females","No significant
difference in ΔSEVS"
"Vitamin B-12","15-19",164,70,42.6829268292683,-0.202116119295403,-0.220399952230914,-0.0182838329355103,0.103525163855543,"Not significant","Greater improvements for females","No significant
difference in ΔSEVS"
"Vitamin B-12","20-24",164,69,42.0731707317073,-0.21478305456161,-0.235711692312587,-0.020928637750977,0.172183043211725,"Not significant","Greater improvements for females","No significant
difference in ΔSEVS"
"Vitamin B-12","25-29",164,69,42.0731707317073,-0.241772567419413,-0.253150512219585,-0.0113779448001722,0.386581817070029,"Not significant","Greater improvements for females","No significant
difference in ΔSEVS"
"Vitamin B-12","30-34",164,69,42.0731707317073,-0.272090655587212,-0.289968614475142,-0.01787795888793,0.0934677380155068,"Not significant","Greater improvements for females","No significant
difference in ΔSEVS"
"Vitamin B-12","35-39",164,71,43.2926829268293,-0.288994992959271,-0.311733669311993,-0.0227386763527211,0.000632170660231227,"Significant","Greater improvements for females","Signficantly greater
ΔSEVS for females"
"Vitamin B-12","40-44",164,79,48.1707317073171,-0.29510964922087,-0.325363022338564,-0.0302533731176939,0.00044935365479077,"Significant","Greater improvements for females","Signficantly greater
ΔSEVS for females"
"Vitamin B-12","45-49",163,78,47.8527607361963,-0.298690583023158,-0.336429823775795,-0.0377392407526375,0.00236504761547917,"Significant","Greater improvements for females","Signficantly greater
ΔSEVS for females"
"Vitamin B-12","50-54",164,80,48.780487804878,-0.297594111188313,-0.341921347343486,-0.0443272361551722,0.000420958964129923,"Significant","Greater improvements for females","Signficantly greater
ΔSEVS for females"
"Vitamin B-12","55-59",163,69,42.3312883435583,-0.305317695585605,-0.343198357003904,-0.0378806614182989,0.0025786246463178,"Significant","Greater improvements for females","Signficantly greater
ΔSEVS for females"
"Vitamin B-12","60-64",163,68,41.7177914110429,-0.296517184777598,-0.324779614825553,-0.0282624300479549,0.0182643852324544,"Significant","Greater improvements for females","Signficantly greater
ΔSEVS for females"
"Vitamin B-12","65-69",163,68,41.7177914110429,-0.287034561189879,-0.327175563498894,-0.0401410023090147,0.00813083639053306,"Significant","Greater improvements for females","Signficantly greater
ΔSEVS for females"
"Vitamin B-12","70-74",163,71,43.558282208589,-0.303159223524231,-0.354908938961723,-0.051749715437492,0.00225736305277208,"Significant","Greater improvements for females","Signficantly greater
ΔSEVS for females"
"Vitamin B-12","75-79",163,71,43.558282208589,-0.309772214815948,-0.348773420660626,-0.0390012058446785,0.0104410076908277,"Significant","Greater improvements for females","Signficantly greater
ΔSEVS for females"
"Vitamin B-12","80-84",163,69,42.3312883435583,-0.310796805777865,-0.354142361120872,-0.0433455553430071,0.013447797751469,"Significant","Greater improvements for females","Signficantly greater
ΔSEVS for females"
"Vitamin B-12","85-89",163,72,44.1717791411043,-0.312727791774994,-0.356763604255474,-0.0440358124804796,0.0405650928590563,"Significant","Greater improvements for females","Signficantly greater
ΔSEVS for females"
"Vitamin B-12","90-94",163,72,44.1717791411043,-0.301736700855246,-0.355102902776288,-0.0533662019210429,0.0547005655203633,"Not significant","Greater improvements for females","No significant
difference in ΔSEVS"
"Vitamin B-12","95-99",163,70,42.9447852760736,-0.301736700855246,-0.366389002715101,-0.0646523018598554,0.0252529873237102,"Significant","Greater improvements for females","Signficantly greater
ΔSEVS for females"
"Zinc","0-4",164,18,10.9756097560976,-0.0775767422530449,-0.0676688776645506,0.00990786458849425,0.000123617582386774,"Significant","Greater improvements for males","Signficantly greater
ΔSEVS for males"
"Zinc","5-9",164,21,12.8048780487805,-0.094704059104735,-0.0679242920135997,0.0267797670911353,1.95278727089357e-06,"Significant","Greater improvements for males","Signficantly greater
ΔSEVS for males"
"Zinc","10-14",164,40,24.390243902439,-0.108444185073084,-0.0799950688068142,0.0284491162662695,1.09501737084724e-05,"Significant","Greater improvements for males","Signficantly greater
ΔSEVS for males"
"Zinc","15-19",164,123,75,-0.084733622006668,-0.109942722479648,-0.0252091004729796,0.000572387326506078,"Significant","Greater improvements for females","Signficantly greater
ΔSEVS for females"
"Zinc","20-24",164,72,43.9024390243902,-0.128298095043711,-0.140305955320292,-0.0120078602765812,0.0194947600933104,"Significant","Greater improvements for females","Signficantly greater
ΔSEVS for females"
"Zinc","25-29",164,109,66.4634146341463,-0.122834083851184,-0.13803776990143,-0.0152036860502457,0.00568582282864152,"Significant","Greater improvements for females","Signficantly greater
ΔSEVS for females"
"Zinc","30-34",164,93,56.7073170731707,-0.117680330728894,-0.127258742186767,-0.00957841145787342,0.0854654777308302,"Not significant","Greater improvements for females","No significant
difference in ΔSEVS"
"Zinc","35-39",164,107,65.2439024390244,-0.108891176938787,-0.121513826786714,-0.0126226498479265,0.0470537067632274,"Significant","Greater improvements for females","Signficantly greater
ΔSEVS for females"
"Zinc","40-44",164,110,67.0731707317073,-0.0973488566838255,-0.117904169838119,-0.0205553131542934,0.00226920689949794,"Significant","Greater improvements for females","Signficantly greater
ΔSEVS for females"
"Zinc","45-49",164,117,71.3414634146341,-0.0882304859849103,-0.114859304777843,-0.0266288187929327,0.000418468744088779,"Significant","Greater improvements for females","Signficantly greater
ΔSEVS for females"
"Zinc","50-54",164,49,29.8780487804878,-0.137483325831457,-0.124395595911049,0.0130877299204075,0.00219002530299947,"Significant","Greater improvements for males","Signficantly greater
ΔSEVS for males"
"Zinc","55-59",164,41,25,-0.142524754236963,-0.124656934875415,0.017867819361549,0.00024676944990733,"Significant","Greater improvements for males","Signficantly greater
ΔSEVS for males"
"Zinc","60-64",164,64,39.0243902439024,-0.129097619080754,-0.112558433446487,0.0165391856342666,0.000592128145230719,"Significant","Greater improvements for males","Signficantly greater
ΔSEVS for males"
"Zinc","65-69",164,46,28.0487804878049,-0.114841294483342,-0.0988691640119425,0.0159721304713994,0.00207715870301375,"Significant","Greater improvements for males","Signficantly greater
ΔSEVS for males"
"Zinc","70-74",164,66,40.2439024390244,-0.110248691668688,-0.0950206260943195,0.0152280655743681,0.00634654520262507,"Significant","Greater improvements for males","Signficantly greater
ΔSEVS for males"
"Zinc","75-79",164,50,30.4878048780488,-0.102502717910443,-0.091722246276259,0.0107804716341841,0.0216017247948496,"Significant","Greater improvements for males","Signficantly greater
ΔSEVS for males"
"Zinc","80-84",164,63,38.4146341463415,-0.0933243969455419,-0.0823920067126485,0.0109323902328934,0.0207902190514156,"Significant","Greater improvements for males","Signficantly greater
ΔSEVS for males"
"Zinc","85-89",164,53,32.3170731707317,-0.0857021980836009,-0.0822839703233577,0.00341822776024322,0.427583417263121,"Not significant","Greater improvements for males","No significant
difference in ΔSEVS"
"Zinc","90-94",164,54,32.9268292682927,-0.0847818946921903,-0.0858518424629429,-0.00106994777075259,0.821310521562771,"Not significant","Greater improvements for females","No significant
difference in ΔSEVS"
"Zinc","95-99",164,46,28.0487804878049,-0.0847818946921903,-0.0751184773408242,0.00966341735136605,0.0102966161183039,"Significant","Greater improvements for males","Signficantly greater
ΔSEVS for males"
